"A 500,000 ft2 area is excavated to mine an ore. The site is expected to contain two types of materials: soft ore and rock. An engineering report estimates that the site contains 25% soft ore, and another report estimates that the site contains 55% soft ore. The unit costs are $100/ft2 to excavate soft ore and $300/ft2 to excavate rock. The expected excavation cost is most nearly

$A$

$100 million

$B$

$107 million

$C$

$110 million

$D$

$115 million","Determine the expected cost based on the first report.
  
Determine the expected cost based on the second report.
  
Determine the expected cost: Use the equation for the arithmetic mean of a set of values from the Engineering Probability and Statistics section of the *NCEES Handbook*:
  
***The answer is $C$.***","ME_Exam,Problem_10",,000232.png,,
"A data set consists of four points as shown.
     x y  2 9  3 11  5 15  9 22 
Using least squares regression, the line equation that best fits the data is most nearly

$A$

<em>y</em> = 5.46 \+ 1.85<em>x</em>

$B$

<em>y</em> = 5.0 \+ 2<em>x</em>

$C$

<em>y</em> = 5.22 \+ 1.88<em>x</em>

$D$

<em>y</em> = 4.95 \+ 1.89<em>x</em>","Use the formula from the *NCEES Handbook*. To evaluate the parameters in the regression equations, tabulate the data.
      x y xy x2     2 9 18 4   3 11 33 9   5 15 75 25   9 22 198 81  Σ 19 57 324 119  
Determine the summed values <em>S</em><em>xy</em> and <em>S</em><em>xx</em>, slope *b̂*, and the <em>y</em>-intercept *â*.
    
Use the calculated values from the table.
 
Determine the line equation.
 
***The answer is $A$.***","ME_Exam,Problem_11",,000440.png,,
"The United States government uses a 1% annual exceedance probability $AEP$ flood as the basis for the National Flood Maps. The probability that the peak discharge at a location in a 100-year flood plain will equal or exceed the 100-year flood level in the flood map in the next 100 years is most nearly(hint: exceedance probability = 1-(1-p)^n)

$A$

1%

$B$

33%

$C$

63%

$D$

100%","Given that the AEP = 1% = 0.01,
 
***The answer is C.***","ME_Exam,Problem_12",,000541.png,,
"Which three of the following statements best define the Code of Ethics for Engineers? $Select the three that apply.$

$A$

a set of guidelines that describes how a licensed engineer should behave professionally

$B$

a set of aspirations that describes how a licensed engineer should behave professionally

$C$

a set of rules that describes a licensed engineer’s responsibilities to the public, clients, and other licensees

$D$

a set of laws that describes how a licensed engineer must behave professionally

$E$

a set of rules that incorporates criminal penalties","Ethics are a set of guidelines, rules, philosophical concepts, customs, norms, and aspirations for a licensee to follow. The Code of Ethics for Engineers articulates the ways in which moral and ethical principles apply to unique situations encountered in professional practice. It indicates to others that the professionals are seriously concerned about responsible and professional conduct.

In some cases, it is impossible to comply with every aspect of the Code. Therefore, ethics are also called a set of aspirations that a licensed engineer should aim for.

However, ethics are not subject to the law. As the late Chief Justice of the U.S. Supreme Court Earl Warren put it, “Society would come to grief without ethics, which is unenforceable in the courts and cannot be made part of law ... Not only does law in a civilized society presuppose ethical commitment, it presupposes the existence of a broad area of human conduct controlled only by ethical norms and not subject to law at all.” For this reason, a violation of ethics does not trigger a criminal penalty unless such act is deemed a crime under a criminal statute. Statements D and E are incorrect.

***The answer is $A$, $B$, and $C$.***","ME_Exam,Problem_13",,,,
"A licensed engineer’s first and foremost responsibility, in performance of professional services, is to the

$A$

clients

$B$

employers

$C$

customers

$D$

public welfare","See the *NCEES Handbook* section Ethics and Professional Practice, which provides a narration of the model rules. According to the *Model Rules,* Sec. 240.15$A$$1$: “Licensees shall be cognizant that their first and foremost responsibility is to safeguard the health, safety, and welfare of the public when performing services for clients and employers.” Therefore, a licensee’s first and foremost responsibility in performance of professional services is to the public welfare.

***The answer is $D$.***","ME_Exam,Problem_14",,,,
"Which one of the following categories of original works by an author or inventor is NOT recognized as intellectual property?

$A$

original works of authorship

$B$

words, phrases, symbols, or designs made to identify a distinguishable source of a good or service

$C$

unique inventions and discoveries

$D$

secret techniques or processes that the inventor intends to use in business to obtain an economic advantage over competitors who do not know or use it","See the *NCEES Handbook*, Ethics and Professional Practice section. A <em>copyright</em> covers original works of authorship, such as a book, song, or movie. Therefore, statement A is correct.

A <em>trademark</em> protects words, phrases, symbols, or designs made to identify a distinguishable source of a good or service. Therefore, statement B is correct. A <em>patent</em> protects unique inventions and discoveries. Therefore, statement C is correct.

A trade secret applies to a formula, pattern, device, method, technique, process, and so on. To meet the most common definition of a trade secret, it must be used in business and give an opportunity to obtain an economic advantage over competitors who do not know or use it. Trade secrets offer little protection without a written agreement between the involved parties to keep it secret from others. In this case, the inventor intends to use it in business, but has not started using it. Therefore, the secret idea is not recognized as an intellectual property.

***The answer is $D$.***","ME_Exam,Problem_15",,,,
"The four elements of sustainable construction or manufacturing are to

$A$

reduce virgin resource consumption, use recyclable materials, protect nature, and focus on quality

$B$

increase virgin resource consumption, eliminate imported materials, protect nature, and focus on quality

$C$

increase virgin resource consumption, eliminate the use of recyclable materials, protect nature, and focus on quality

$D$

reduce virgin resource consumption, eliminate the use of recyclable materials, protect nature, and focus on quality","The *NCEES Handbook* does not provide a prescriptive definition of sustainability. It provides those sustainable principles that include a consideration of

+  
safety

+  
public health

+  
quality of life

+  
resource allocation

+  
nonrenewable resources

Several definitions of sustainability are available in the engineering world, and every definition has several elements, similar in nature but expressed in different words. In general, a sustainable construction requires that recyclable resources should be used to minimize consumption of virgin resources, and it requires protecting nature. A focus on quality is needed for every successful project.

***The answer is $A$.***","ME_Exam,Problem_16",,,,
"Which of the following statements regarding greenhouse gas emissions is NOT correct?

$A$

The carbon footprint method is a method used to measure and communicate the total amount of greenhouse gases emitted into the atmosphere both directly and indirectly in the production and delivery of goods and services.

$B$

Raw materials, energy consumed, and transportation are the main elements used to calculate the carbon footprint of a product.

$C$

A standard global method exists for calculating a carbon footprint.

$D$

People or organizations that fully offset their carbon emissions by investing in green technology or sustainable projects are said to be carbon-neutral.","See the *NCEES Handbook*, Ethics and Professional Practice: Societal Considerations section. The parameters such as air and water pollution and atmospheric emissions are required in a life-cycle analysis. The *NCEES Handbook* does not explicitly provide information on greenhouse gases. The subject is covered in many textbooks. Greenhouse gases include carbon dioxide and other carbon compounds. There is no standard global method available for calculating the carbon footprint. Comparing the carbon footprint of different companies or products from different producers is extremely difficult. However, emissions can be grouped into categories. For example, the Berkeley Institute of the Environment focuses on transportation, housing, food, and goods and services.

***The answer is $C$.***","ME_Exam,Problem_17",,,,
"When providing design services for a construction project, which of the following is the standard of care that the courts traditionally assign to the engineer in responsible charge?

$A$

The engineer should produce a set of perfect drawings.

$B$

The engineer should meet the minimum requirement of the governing building code and no more.

$C$

The engineer should use state-of-the-art methods that a reasonably prudent engineer would follow when designing similar projects in similar localities.

$D$

The engineer is responsible for the job site safety of workers.","Option A is incorrect because a standard of perfection cannot be met.

Option B is incorrect because meeting the minimum code requirement may not result in meeting the standard of care. Generally, the code provisions provide the minimum design requirements a design professional must adhere to. Sometimes the minimum requirements are adequate, and sometimes they are not. In other occasions, the code provisions may not address a situation at all. In such situations, local engineering associations or specialty institutes provide the state-of-the-art information for the design issue. For example, an engineer uses the code yet designs a building system that performs poorly in an earthquake. Should the engineer use the same code provision again for the redesign? If not, what design criteria should be used in such a situation? A reasonable approach would be to look beyond the code provisions and incorporate state-of-the-art methods in design.

The engineer is not responsible for job site safety unless the engineer assumes such responsibility by contract or conduct. Therefore, option D is incorrect.

***The answer is $C$.***","ME_Exam,Problem_18",,,,
"A community sells a property for $24 in 1626, and the proceeds are invested at 7% interest compounded yearly. The value of the investment at the end of 2016 is most nearly

$A$

$70 million

$B$

$700 million

$C$

$7 billion

$D$

$7 trillion","The following information is given.
  
Determine the future value given the present value by using the formula provided in the Engineering Economics section of the *NCEES Handbook*.
  
***The answer is $D$.***","ME_Exam,Problem_19",,000123.png,,
"Equipment selection has been narrowed to two options with the parameters shown. The expected rate of return for the equipment is 8%.
      equipment  parameters 1 2   initial cost $50,000 $75,000  annual maintenance $15,000 $10,000  life expectancy $yr$ 10 15  salvage value $5000 $12,000  
Which of the following statements is true?

$A$

Equipment 1 is more economical because it saves nearly $8500.

$B$

Equipment 1 is more economical because it saves nearly $1200.

$C$

Equipment 2 is more economical because it saves nearly $8500.

$D$

Equipment 2 is more economical because it saves nearly $1200.","The problem presents two mutually exclusive alternatives, out of which one alternative must be selected. There is no “do nothing” choice. The income and expenses for each option are converted to the equivalent present values, also called the <em>P</em>-pattern. The given annual interest rate is 8%. The <em>P</em>-value is the present net equivalent value of the stream of all future incomes and expenses. The alternative with the lowest <em>P</em>-value is selected.

The <em>P</em>-pattern values of a single future payment $<em>P</em> given <em>F</em>$ and the stream of future payments $<em>P</em> given <em>A</em>$ are tabulated in the *NCEES Handbook*, in the Engineering Economics section. Select the interest rate table for <em>i</em> = 8%.

**step 1: **

For equipment 1, its useful life is 10 years. Therefore, read two factor values for <em>n</em> = 10 in the table. The factor value <em>P</em>/<em>F</em> is used to convert the future salvage value to the present income value. The factor value <em>P</em>/<em>A</em> is used to convert the annual maintenance values to a single present expense.

Calculate the present worth, <em>P</em>1, for the first equipment option.
 

**step 2: 

The present worth, <em>P</em>2, for the second equipment option is
 

**step 3: 

Select the equipment that costs less. Equipment 1 costs less than equipment 2. Therefore, it is a better choice. Determine the difference in cost.


***The answer is A.***","ME_Exam,Problem_20",,000045.png,,
"A tollway authority at present charges $3.00 as a toll fee and is considering raising the toll fee. A total of 20,000 motorists use the road daily. It is estimated that for each $0.25 increase in the toll, 1000 fewer motorists will use the toll road. The toll fee increase that will maximize the authority’s income is most nearly

$A$

$1.00

$B$

$1.50

$C$

$1.75

$D$

$2.25","This is an optimization problem in which the effect of each toll fee increment must be evaluated. From the Differential Calculus section of Mathematics in the *NCEES Handbook*, the function <em>y</em> = <em>f</em>$<em>x</em>$ is a maximum for <em>x</em> = <em>a</em> if *f′*$<em>a</em>$ = 0 and <em>f</em> ′′$<em>a</em>$ < 0.

Let <em>x</em> be the number of $0.25 fee increases needed to fully optimize the fee.
  
Check the second condition.
 
Both maxima conditions are met. The income is maximized when the authority increases the charge by 4 × $0.25 = $1.00. A graph of the optimal toll increase versus income is shown.
  
***The answer is $A$.***","ME_Exam,Problem_21",,000516.png,,
"Two alternatives for constructing a project are being considered. Alternative A costs $1 million initially and $100,000 in service and maintenance each year. Alternative B costs $1.8 million and $65,000 in service and maintenance each year. The project is expected to have no salvage value after a service life of 25 years, and the expected interest rate is zero. Which of the options should be used?

$A$

alternative A

$B$

alternative B

$C$

either alternative A or B

$D$

neither alternative A nor B","The life-cycle cost equations for alternatives A and B $in millions of dollars$ are
 
Let <em>t</em> be the number of years after construction. The break-even point will occur when the values of the two alternatives are equal. Set the two equations equal to each other, and solve for <em>t</em>.
 
After 22.86 years of service life, alternative B becomes more economical, as shown.
  
As the expected life cycle of the project is 25 years, alternative B should be used.

***The answer is $B$.***","ME_Exam,Problem_22",,000550.png,,
"A piece of equipment is valued at $100,000. The equipment’s value is depreciated at a rate of 10% per year. The book value after 10 years is most nearly

$A$

$0

$B$

$35,000

$C$

$65,000

$D$

$260,000","The problem involves a single lump-sum investment of $100,000 now. The investment will lose its value at a rate of 10% compounded annually. Therefore, the problem requires converting the present payment value <em>P</em> to its future worth <em>F</em> after <em>n</em> interest periods at an interest rate of <em>I</em> per interest period. However, the interest rate is negative, and the value is declining since the equipment value is depreciating.
  
There is no factor table provided in the *NCEES Handbook* for depreciation or declining rates. Therefore, use the relationship
 
***The answer is $B$.***","ME_Exam,Problem_23",,000716.png,,
"A contractor buys equipment at a cost of $150,000. After six years, its salvage value is estimated to be $10,000. Interest on the loan for the equipment is 8%. The annual cost is most nearly

$A$

$23,000

$B$

$29,000

$C$

$31,000

$D$

$34,000","Draw the timeline of cash flow as shown.
  
Use the factor tables given in the Engineering Economics section of the *NCEES Handbook* to determine the annual cost.
 
***The answer is $C$.***","ME_Exam,Problem_24",,000284.png,,
"A circuit is shown.
  
The current in the 10 Ω resistor is most nearly

$A$

0.43 A

$B$

1.53 A

$C$

1.96 A

$D$

2.50 A","The circuit has two loops. Assume loop currents as <em>I</em>1 and <em>I</em>2, as shown. More than one path exists for current to flow in the circuit.
  
Considering the conservation of energy in electrical circuits, use Kirchhoff’s voltage law $KVL$. KVL states that the sum of the rises and drops in voltage around any closed path in an electrical circuit must be zero. In other words,
 
The loops have resistors which absorb energy. Apply Ohm’s law.
 
<em>V</em> is the voltage in volts, <em>I</em> is the current in amperes, and <em>R</em> is the resistance in ohms. Write an equation for voltage equilibrium for each loop in voltage.

For loop 1,
 
For loop 2,
 
Solving the simultaneous equations gives <em>I</em>1 = 1.96 A and <em>I</em>2 = 0.43 A.

Both current values are positive, which indicates that the assumed current directions are correct. The current in 10 Ω resistor is the difference between the two currents.
 
***The answer is B.***","ME_Exam,Problem_25",000575.png,000316.png,,
"A circuit is shown.
  
Model the circuit by a single source and a single resistor in series as shown.
  
The voltage across terminals a and b is most nearly

$A$

5 V

$B$

10 V

$C$

13 V

$D$

25 V","A complex circuit that has many electrical components can generally be modeled by a single source and single resistor in series. The simplified circuit is called the Thevenin equivalent circuit, as shown.
  
Let <em>V</em>eq be the equivalent voltage across terminals a and b with 20 Ω removed from the circuit. The circuit has two loops with currents <em>I</em>1 and <em>I</em>2 as shown.

See the *NCEES Handbook*, Electrical and Computer Engineering section. For resistors connected in series, the current in all resistors is the same, and the equivalent resistance for <em>n</em> resistors in series is
  
Apply Ohm’s law. The current is <em>I</em> = <em>V</em>/<em>R</em>. Calculate the current in each loop.
  
Using the conservation of energy in each loop,
 
The open circuit voltage <em>V</em>eq equals <em>V</em>ab*.*

***The answer is $A$.***","ME_Exam,Problem_26",000569.png,000385.png,,
"From the following statements, select all statements that are correct about Kirchhoff’s current law $KCL$.

$A$

KCL is applicable to any closed path.

$B$

KCL is applicable to any closed surface.

$C$

KCL states that arithmetic sum of current at a node is zero.

$D$

KCL states that algebraic sum of current at a node is zero.

$E$

KCL requires that the clockwise direction of current should be assumed positive and counterclockwise direction should be assumed negative.","See the *NCEES Handbook*, Electrical and Computer Engineering section. KCL applies to the current at any closed surface such as a node or junction. KCL does not apply to currents in a circuit. Therefore, statement B is correct, and statement A is not.

KCL states that the sum of all incoming currents equal the sum of all outgoing currents at a node. In other words, the algebraic sum of currents at a node is zero. Therefore, statement D is correct, and statement C is incorrect.

In applying KCL, it is necessary to assume a direction of current as positive. It is for a reference. The assumed direction may be clockwise or counterclockwise. Therefore, statement E is incorrect.

***The answer is $B$ and $D$.***","ME_Exam,Problem_27",,,,
"Two point charges are placed at points A and C. A third point charge is placed at point B in line with the other two so that it is not subject to any net force from the other two point charges. The electrical charge units are in coulombs, as shown.
  
The distance AB is most nearly

$A$

44 cm

$B$

58 cm

$C$

100 cm

$D$

102 cm","See the *NCEES Handbook*, Electrical and Computer Engineering section. According to the first law of electrostatics, like charges repel each other and opposite charges attract each other. According to the second law, known as Coulomb’s law, the electrostatic force on charge 2 due to charge 1 is
 
In this equation, <em>Q</em><em>i</em> is the <em>i</em>th point charge, <em>r</em> is the distance between charges 1 and 2, <em>a</em>r12 is a unit vector directed from 1 to 2, and *ε* is the permittivity of the medium.

Since all charges in this problem are in the same medium and in a line, the charge equations between A and B and between C and B are simplified to determine <em>x</em>, the distance AB.
 
Set <em>F</em>AB and <em>F</em>CB as equal and solve for <em>x</em>.
 
***The answer is C.***","ME_Exam,Problem_28",000383.png,000454.png,,
"An eight-pole alternator is running at 750 rpm and supplying power to a six-pole, three-phase induction motor. The motor has a full-load slip of 4%. The full-load speed of the motor is most nearly

$A$

720 rpm

$B$

750 rpm

$C$

780 rpm

$D$

960 rpm","See the *NCEES Handbook*, Electrical and Computer Engineering section. The AC motor’s synchronous speed, *ns,* is expressed as
 
In this equation, <em>f</em> is the line voltage frequency in hertz, and <em>p</em> is the number of poles.

Apply the formula in the following two steps.

**step 1: **

Determine the frequency of the three-phase current produced by the alternator.


**step 2: 

Based on the frequency, determine the speed of the three-phase induction motor.


**step 3: 

The difference between synchronous speed and actual speed is called <em>slip</em>. The slip for an induction motor is
 
Rewrite the above equation to determine the actual rotational speed, <em>n</em>.


***The answer is $D$.***","ME_Exam,Problem_29",,000619.png,,
"A bolt is being pulled by two forces A and B as shown.
  
Which of the following diagrams best represents the resultant, R, graphically?

$A$

 

$B$

 

$C$

 

$D$

","A force is a vector possessing magnitude and direction. The forces are added according to the parallelogram law. A parallelogram with sides A and B represents the resultant force vector, as shown.
  
Option D correctly represents the directions and magnitudes of the force vectors and their resultant.

***The answer is $D$.***","ME_Exam,Problem_30",000398.png,000044.png,,
"A moment couple is a system of

$A$

two equal moments at the ends of a beam

$B$

two equal and opposite moments at the ends of a beam

$C$

two equal and opposite parallel forces

$D$

two equal and opposite concurrent forces","See the *NCEES Handbook*, Statics: Moments $Couples$ section. A couple is defined as a system of two equal and opposite forces that are parallel to each other. As such, the forces are nonconcurrent. Therefore, option C is correct, and options A, B, and D are incorrect.

***The answer is $C$.***","ME_Exam,Problem_31",,,,
"A concrete block weighing 1200 lbf needs leveling on one edge. A crowbar is used to lift the edge, as shown.
  
The downward force required at point D to lift the block is most nearly

$A$

100 lbf

$B$

200 lbf

$C$

600 lbf

$D$

800 lbf","See the Statics section of the *NCEES Handbook*. Two conditions must be met for equilibrium.
 
The block weighs 1200 lbf. The weight acts vertically down at the centroid of the block, which is located midway between points A and B. The weight is equally split between the two corners A and B. Corner A bears against the surface below, and corner B is carried by the crowbar.

Calculate the load on the tip of the crowbar at B as
 
The crowbar has two arms, BC and CD. Assuming counterclockwise moment is positive, consider the moment at point C.
 
***The answer is $B$.***","ME_Exam,Problem_32",000562.png,000741.png,,
"A vertical pole is held by two stay cables, as shown.
  
All connections are pinned. If the tension in cable AB is 100 N, the tension in cable AC is most nearly

$A$

100 N

$B$

120 N

$C$

150 N

$D$

180 N","The tower is a plane determinate truss. See the Statics section of the *NCEES Handbook*. Two equilibrium conditions must be met.
 
For the pole AD to remain plumb, the horizontal components of the tension forces in each cable must be equal. Using the free-body diagram at joint A, resolve the forces in the <em>x</em>- and <em>y</em>-directions.
    
***The answer is $B$.***","ME_Exam,Problem_33",000746.png,000591.png,,
"The truss tower is shown. It has nine joints and 17 members. All joints are pinned, and the bars making up the X-bracings are not connected at their cross-points.
  
The total degree of indeterminacy of the tower is

$A$

1

$B$

2

$C$

3

$D$

4","See the *NCEES Handbook*, Civil Engineering: Stability, Determinacy, and Classification of Structures. A truss is considered stable and indeterminate if
  
<em>m</em> is the number of members, <em>j</em> is the number of joints, and <em>r</em> is the number of reactions. From the above inequality, the degree of indeterminacy for a truss structure can be determined as
 
The tower is a planar $2-D$ truss with two supports. Each support can develop horizontal and vertical reactions.
  
The degree of indeterminacy of the tower is
  
***The answer is $C$.***","ME_Exam,Problem_34",000655.png,000114.png,,
"Consider a 12 in radius circular disk. Its center is located at point A. A hole of 12 in diameter is cut from the disk. The center of the hole is located at point B. The distance between A and B is 6 in.
  
Where is the center of gravity of the composite disk located?

$A$

at point A

$B$

within segment AB

$C$

left of point A, in line with segment AB

$D$

somewhere else","The center of gravity $CG$ of a body, also called its centroid, is defined as a point where the total area of the body acts. See the *NCEES Handbook*, Statics: Centroids of Masses, Areas, Lengths, and Volumes section, for the formula to compute the CG of an area. However, the solution does not require any calculations to determine the CG of the area.

**step 1: **

Draw a sketch of the disk with the hole, as shown with the <em>x</em>- and <em>y</em>-axes. To locate the CG of an area, its <em>x</em>- and <em>y</em>-coordinates are needed. Due to symmetry about <em>x</em>-axis, the <em>y</em>-coordinate of the CG is zero, and thus the CG lies on the <em>x</em>-axis.
 

**step 2: 

It is known that the CG of a circle lies at its center. Therefore, the CG of a 12 in radius solid disk lies at point A, and the CG of a 6 in radius void lies at point B.

**step 3: 

After the 6 in radius circular is cut out, there is more area left of point A than on the right side of point A. Therefore, the CG of the composite area shifts to the left of point A, along the <em>x</em>-axis.

***The answer is $C$.***","ME_Exam,Problem_35",000237.png,000053.png,,
"A steel girder is made from three welded plates as shown.
  
The moment of inertia about the major axis of the girder is most nearly

$A$

0.5 × 10−3 m4

$B$

3.3 × 10−3 m4

$C$

16.6 × 10−3 m4

$D$

4.76 × 10−3 m4","The I-shaped beam can be considered in terms of three rectangular shapes.

I-shaped section = Rectangle A – Rectangle B – Rectangle C

I-shaped section = Rectangle A – Rectangle $B \+ C$

This is shown as
  
The moment of inertia of a rectangular section about its axis is determined using the formula
 
Substituting the sizes of the two rectangles into the equation,
  
Alternative method: Use the moment of inertia parallel-axis theorem.

***The answer is $D$.***","ME_Exam,Problem_36",000006.png,000187.png,,
"Consider the belt friction formula.
 
Which of the following statements are true for the equation shown?

$A$

The force <em>F</em>1 is always larger than <em>F</em>* 

$B$

The force <em>F</em>2 is always larger than <em>F</em>* 

$C$

The formula can be applied to friction problems where the angle of contact exceeds 360°.

$D$

The formula is inapplicable to friction problems involving band brakes.

$E$

The formula is inapplicable to friction problems involving ropes wrapped around a capstan that remains fixed.","The belt friction formula is given in the *NCEES Handbook*, Statics: Belt Friction section.

The force <em>F</em>1 in the formula represents the tensile force on the pulling side. It is always larger than <em>F</em>*  Therefore, statement A is correct, and statement B is incorrect.

The formula applies to friction problems where the angle of contact may exceed 360° $2*π* rad$. If the rope is wrapped <em>n</em> times around a post, then angle *θ* becomes 2*πn.* Statement C is true.

The formula applies to friction problems involving band brakes. In band brakes, the band remains fixed, and the drum has impending rotation. Statement D is false.

The formula is applicable to problems involving ropes wrapped around a capstan or post. In this case, the capstan remains fixed, and the angle *θ* may exceed 2*π* rad. Statement E is false.

***The answer is $A$ and $C$.***","ME_Exam,Problem_37",000767.png,,,
